suite,test,totalCov,plain,containers,colors,arrayref,utils,special,core,advanced,time,status
com.telek.tests.stats.hypo.HypothesisSingleVarTest,singleVarTest,532,0,11,0,4,264,0,1,252,501,passed
com.telek.tests.stats.StatsEqualityTest,eqTest,503,0,0,0,5,213,0,33,252,2,passed
com.telek.tests.functions.FuncTest,amnTest,175,0,0,0,0,7,0,168,0,11,passed
com.telek.tests.zsingle.NumericalAnalysisTest,numAnalTest,155,0,0,0,4,7,82,62,0,5,passed
com.telek.tests.zsingle.ArrayRefTest,arrayRefTwodTest,75,0,0,0,75,0,0,0,0,46,passed
com.telek.tests.stats.desc.DataDescriptionTest,dataDescPrimitiveWithoutConversionTest,109,0,32,0,12,7,0,0,58,360,passed
com.telek.tests.zsingle.ColorTest,colorEqualsTest,19,0,0,19,0,0,0,0,0,2,passed
com.telek.tests.stats.desc.DataDescriptionTest,randomTest2,117,4,15,0,9,8,0,0,81,12,passed
com.telek.tests.stats.hypo.HypothesisTwoVarTest,differenceOfMeansTest,406,0,21,0,8,218,0,1,158,74,passed
com.telek.tests.stats.confidenceint.ConfIntervalSingleVariableTest,forPersonDataTest,363,4,7,0,5,138,0,5,204,1,passed
com.telek.tests.functions.FuncEqualityTest,amnFuncTest,126,0,0,0,0,7,0,119,0,14,passed
com.telek.tests.zsingle.DiscreteMathTest,discreteMathTest,49,0,0,0,0,1,48,0,0,1,passed
com.telek.tests.zsingle.ArrayRefTest,arrayRefOnedTest,46,4,0,0,42,0,0,0,0,20,passed
com.telek.tests.stats.desc.DataDescriptionTest,dataDescPrimitiveTest,123,0,24,0,4,8,0,0,87,5421,passed
com.telek.tests.stats.hypo.HypothesisTwoVarTest,differenceOfProportionsTest,149,0,21,0,8,7,0,1,112,1,passed
com.telek.tests.stats.freqtable.FreqDistTableTest,freqTableGenericTest,130,4,11,0,5,70,0,0,40,899,passed
com.telek.tests.dists.TDistTest,invCumRightTailed,240,0,0,0,0,213,0,0,27,126,passed
com.telek.tests.stats.ChiSqTestsTest,aliasFunctionChecksTest,350,0,15,0,16,118,0,14,187,6,passed
com.telek.tests.matrices.TMatrixTest,differentTypeArray2Tests,124,0,19,0,0,1,0,104,0,4,passed
com.telek.tests.zsingle.IAFTest,iafTest,19,0,0,0,0,0,19,0,0,2,passed
